"Date","Team","Opponent","GameOutcome","Quarter","Time","ConvTime","Location","ShotOutcome","AssistPlayer","Season","SeasonType","ShotType","OwnScore","OpponentScore","OwnScoreBefore","OpponentScoreBefore","DiffBefore"
"2014-03-26","MIA","IND","L","4th","0:38.0",38,"Away","Miss","","2014","Regular","3","80","84",80,"84",-4
"2014-02-08","MIA","UTA","L","4th","0:01.0",1,"Away","Miss","","2014","Regular","3","89","94",89,"94",-5
"2014-02-08","MIA","UTA","L","4th","0:01.0",1,"Away","Miss","","2014","Regular","3","89","94",89,"94",-5
"2014-04-04","MIA","MIN","L","2OT","0:40.0",40,"Home","Miss","","2014","Regular","3","117","116",117,"116",1
"2014-12-09","MIA","PHO","W","4th","1:49.0",109,"Away","Make","Dwyane Wade","2015","Regular","3","97","91",94,"91",3
"2014-11-30","MIA","NYK","W","4th","1:07.0",67,"Away","Make","Dwyane Wade","2015","Regular","3","82","77",79,"77",2
"2014-12-12","MIA","UTA","W","4th","1:39.0",99,"Away","Miss","","2015","Regular","3","93","89",93,"89",4
"2015-01-21","MIA","CHO","L","4th","0:59.0",59,"Away","Miss","","2015","Regular","3","74","74",74,"74",0
"2014-11-30","MIA","NYK","W","4th","0:30.0",30,"Away","Miss","","2015","Regular","3","82","77",82,"77",5
"2015-01-21","MIA","CHO","L","4th","0:03.0",3,"Away","Miss","","2015","Regular","3","76","78",76,"78",-2
"2016-01-08","MIA","PHO","W","4th","1:51.0",111,"Away","Make","Gerald Green","2016","Regular","3","98","91",95,"91",4
"2016-01-04","MIA","IND","W","4th","1:03.0",63,"Home","Make","Goran Dragic","2016","Regular","3","93","92",90,"92",-2
"2016-01-29","MIA","MIL","W","4th","1:43.0",103,"Away","Miss","","2016","Regular","3","101","98",101,"98",3
"2015-11-06","MIA","IND","L","4th","1:23.0",83,"Away","Miss","","2016","Regular","3","84","84",84,"84",0
"2015-12-03","MIA","OKC","W","4th","1:03.0",63,"Home","Miss","","2016","Regular","3","93","95",93,"95",-2
