"","time","x3fga","x3fgm","x3fg_perc"
"1",0,2114,312,0.147587511825922
"2",1,896,132,0.147321428571429
"3",2,621,105,0.169082125603865
"4",3,520,106,0.203846153846154
"5",4,447,107,0.239373601789709
"6",5,379,89,0.234828496042216
"7",6,385,81,0.21038961038961
"8",7,362,96,0.265193370165746
"9",8,315,81,0.257142857142857
"10",9,301,68,0.225913621262458
"11",10,286,74,0.258741258741259
"12",11,306,81,0.264705882352941
"13",12,217,56,0.258064516129032
"14",13,237,63,0.265822784810127
"15",14,230,69,0.3
"16",15,215,61,0.283720930232558
"17",16,186,49,0.263440860215054
"18",17,176,58,0.329545454545455
"19",18,189,58,0.306878306878307
"20",19,157,50,0.318471337579618
"21",20,179,45,0.251396648044693
"22",21,157,37,0.235668789808917
"23",22,155,48,0.309677419354839
"24",23,157,45,0.286624203821656
"25",24,159,50,0.314465408805031
"26",25,136,38,0.279411764705882
"27",26,128,39,0.3046875
"28",27,173,48,0.277456647398844
"29",28,143,48,0.335664335664336
"30",29,158,46,0.291139240506329
"31",30,149,49,0.328859060402685
"32",31,138,42,0.304347826086957
"33",32,158,43,0.272151898734177
"34",33,138,39,0.282608695652174
"35",34,147,42,0.285714285714286
"36",35,148,53,0.358108108108108
"37",36,148,50,0.337837837837838
"38",37,114,35,0.307017543859649
"39",38,137,40,0.291970802919708
"40",39,125,46,0.368
"41",40,162,48,0.296296296296296
"42",41,149,49,0.328859060402685
"43",42,110,36,0.327272727272727
"44",43,147,50,0.340136054421769
"45",44,138,44,0.318840579710145
"46",45,130,41,0.315384615384615
"47",46,138,42,0.304347826086957
"48",47,131,62,0.473282442748092
"49",48,124,45,0.362903225806452
"50",49,150,51,0.34
"51",50,142,48,0.338028169014085
"52",51,135,38,0.281481481481481
"53",52,120,29,0.241666666666667
"54",53,117,43,0.367521367521368
"55",54,149,47,0.315436241610738
"56",55,116,43,0.370689655172414
"57",56,145,45,0.310344827586207
"58",57,129,42,0.325581395348837
"59",58,132,42,0.318181818181818
"60",59,122,42,0.344262295081967
"61",60,138,47,0.340579710144928
"62",61,126,38,0.301587301587302
"63",62,120,37,0.308333333333333
"64",63,124,35,0.282258064516129
"65",64,115,41,0.356521739130435
"66",65,105,28,0.266666666666667
"67",66,143,50,0.34965034965035
"68",67,115,42,0.365217391304348
"69",68,130,46,0.353846153846154
"70",69,130,48,0.369230769230769
"71",70,125,36,0.288
"72",71,116,41,0.353448275862069
"73",72,108,33,0.305555555555556
"74",73,122,44,0.360655737704918
"75",74,130,54,0.415384615384615
"76",75,106,28,0.264150943396226
"77",76,114,43,0.37719298245614
"78",77,123,33,0.268292682926829
"79",78,125,35,0.28
"80",79,107,38,0.355140186915888
"81",80,115,44,0.382608695652174
"82",81,120,35,0.291666666666667
"83",82,120,30,0.25
"84",83,116,41,0.353448275862069
"85",84,114,31,0.271929824561404
"86",85,141,40,0.283687943262411
"87",86,129,52,0.403100775193798
"88",87,128,41,0.3203125
"89",88,113,51,0.451327433628319
"90",89,132,52,0.393939393939394
"91",90,153,44,0.287581699346405
"92",91,131,44,0.33587786259542
"93",92,117,36,0.307692307692308
"94",93,111,43,0.387387387387387
"95",94,100,24,0.24
"96",95,122,39,0.319672131147541
"97",96,127,42,0.330708661417323
"98",97,124,38,0.306451612903226
"99",98,147,45,0.306122448979592
"100",99,121,30,0.247933884297521
"101",100,126,39,0.30952380952381
"102",101,104,39,0.375
"103",102,123,42,0.341463414634146
"104",103,114,43,0.37719298245614
"105",104,133,35,0.263157894736842
"106",105,139,45,0.323741007194245
"107",106,123,42,0.341463414634146
"108",107,112,46,0.410714285714286
"109",108,127,43,0.338582677165354
"110",109,127,39,0.307086614173228
"111",110,122,27,0.221311475409836
"112",111,102,31,0.303921568627451
"113",112,102,31,0.303921568627451
"114",113,109,35,0.321100917431193
"115",114,121,41,0.338842975206612
"116",115,97,36,0.371134020618557
"117",116,114,36,0.315789473684211
"118",117,101,39,0.386138613861386
"119",118,118,39,0.330508474576271
"120",119,126,55,0.436507936507937
"121",120,148,69,0.466216216216216
"122",121,105,36,0.342857142857143
"123",122,128,44,0.34375
"124",123,127,35,0.275590551181102
"125",124,98,32,0.326530612244898
"126",125,117,36,0.307692307692308
"127",126,109,36,0.330275229357798
"128",127,117,42,0.358974358974359
"129",128,102,24,0.235294117647059
"130",129,118,30,0.254237288135593
"131",130,99,38,0.383838383838384
"132",131,112,40,0.357142857142857
"133",132,112,39,0.348214285714286
"134",133,106,37,0.349056603773585
"135",134,113,37,0.327433628318584
"136",135,112,32,0.285714285714286
"137",136,110,48,0.436363636363636
"138",137,102,46,0.450980392156863
"139",138,112,45,0.401785714285714
"140",139,126,42,0.333333333333333
"141",140,99,38,0.383838383838384
"142",141,91,29,0.318681318681319
"143",142,119,38,0.319327731092437
"144",143,91,25,0.274725274725275
"145",144,124,43,0.346774193548387
"146",145,130,44,0.338461538461538
"147",146,102,33,0.323529411764706
"148",147,120,45,0.375
"149",148,115,48,0.417391304347826
"150",149,98,35,0.357142857142857
"151",150,127,48,0.377952755905512
"152",151,100,45,0.45
"153",152,110,39,0.354545454545455
"154",153,130,36,0.276923076923077
"155",154,105,33,0.314285714285714
"156",155,113,40,0.353982300884956
"157",156,107,36,0.336448598130841
"158",157,104,27,0.259615384615385
"159",158,121,40,0.330578512396694
"160",159,115,28,0.243478260869565
"161",160,98,45,0.459183673469388
"162",161,99,38,0.383838383838384
"163",162,102,31,0.303921568627451
"164",163,123,49,0.398373983739837
"165",164,96,29,0.302083333333333
"166",165,103,30,0.29126213592233
"167",166,103,41,0.398058252427184
"168",167,112,39,0.348214285714286
"169",168,117,45,0.384615384615385
"170",169,119,34,0.285714285714286
"171",170,134,42,0.313432835820896
"172",171,95,33,0.347368421052632
"173",172,107,34,0.317757009345794
"174",173,127,46,0.362204724409449
"175",174,107,33,0.308411214953271
"176",175,112,42,0.375
"177",176,117,49,0.418803418803419
"178",177,117,39,0.333333333333333
"179",178,108,43,0.398148148148148
"180",179,113,42,0.371681415929204
"181",180,111,41,0.369369369369369
"182",181,110,36,0.327272727272727
"183",182,110,41,0.372727272727273
"184",183,117,39,0.333333333333333
